,team1,team1score,team1seed,team2,team2score,team2seed,result,year,round,wteam,lteam,wscore,lscore
400,Pittsburgh,82,4,Oral Roberts,63,13,0,2008,1,Pittsburgh,Oral Roberts,82,63
401,Kansas,85,1,Portland St.,61,16,0,2008,1,Kansas,Portland St.,85,61
402,Texas A&M,67,9,BYU,62,8,0,2008,1,Texas A&M,BYU,67,62
403,Duke,71,2,Belmont,70,15,0,2008,1,Duke,Belmont,71,70
404,Davidson,82,10,Gonzaga,76,7,0,2008,1,Davidson,Gonzaga,82,76
405,Washington St.,71,4,Winthrop,40,13,0,2008,1,Washington St.,Winthrop,71,40
406,Marquette,74,6,Kentucky,66,11,0,2008,1,Marquette,Kentucky,74,66
407,Michigan St.,72,5,Temple,61,12,0,2008,1,Michigan St.,Temple,72,61
408,North Carolina,113,1,Mount St. Mary's,74,16,0,2008,1,North Carolina,Mount St. Mary's,113,74
409,Memphis,87,1,UT Arlington,63,16,0,2008,1,Memphis,Texas-Arlington,87,63
410,Notre Dame,68,5,George Mason,50,12,0,2008,1,Notre Dame,George Mason,68,50
411,San Diego,70,13,Connecticut,69,4,0,2008,1,San Diego,Connecticut,70,69
412,Butler,81,7,South Alabama,61,10,0,2008,1,Butler,South Alabama,81,61
413,West Virginia,75,7,Arizona,65,10,0,2008,1,West Virginia,Arizona,75,65
414,Wisconsin,71,3,Cal St. Fullerton,56,14,0,2008,1,Wisconsin,Cal St. Fullerton,71,56
415,Siena,83,13,Vanderbilt,62,4,0,2008,1,Siena,Vanderbilt,83,62
416,UCLA,70,1,Mississippi Valley St.,29,16,0,2008,1,UCLA,Mississippi Valley St.,70,29
417,Western Kentucky,72,12,San Diego,63,13,0,2008,2,Western Kentucky,San Diego,72,63
418,Louisville,78,3,Oklahoma,48,6,0,2008,2,Louisville,Oklahoma,78,48
419,Xavier,85,3,Purdue,78,6,0,2008,2,Xavier,Purdue,85,78
420,Texas,75,2,Miami FL,72,7,0,2008,2,Texas,Miami FL,75,72
421,Wisconsin,72,3,Kansas St.,55,11,0,2008,2,Wisconsin,Kansas St.,72,55
422,Villanova,84,12,Siena,72,13,0,2008,2,Villanova,Siena,84,72
423,Davidson,74,10,Georgetown,70,2,0,2008,2,Davidson,Georgetown,74,70
424,Kansas,75,1,UNLV,56,8,0,2008,2,Kansas,UNLV,75,56
425,Stanford,82,3,Marquette,81,6,0,2008,2,Stanford,Marquette,82,81
426,Michigan St.,65,5,Pittsburgh,54,4,0,2008,2,Michigan St.,Pittsburgh,65,54
427,North Carolina,108,1,Arkansas,77,9,0,2008,2,North Carolina,Arkansas,108,77
428,Memphis,77,1,Mississippi St.,74,8,0,2008,2,Memphis,Mississippi St.,77,74
429,Washington St.,61,4,Notre Dame,41,5,0,2008,2,Washington St.,Notre Dame,61,41
430,Tennessee,76,2,Butler,71,7,0,2008,2,Tennessee,Butler,76,71
431,West Virginia,73,7,Duke,67,2,0,2008,2,West Virginia,Duke,73,67
432,UCLA,51,1,Texas A&M,49,9,0,2008,2,UCLA,Texas A&M,51,49
433,Texas,82,2,Stanford,62,3,0,2008,3,Texas,Stanford,82,62
434,Louisville,79,3,Tennessee,60,2,0,2008,3,Louisville,Tennessee,79,60
435,Xavier,79,3,West Virginia,75,7,0,2008,3,Xavier,West Virginia,79,75
436,Kansas,72,1,Villanova,57,12,0,2008,3,Kansas,Villanova,72,57
437,North Carolina,68,1,Washington St.,47,4,0,2008,3,North Carolina,Washington St.,68,47
438,Memphis,92,1,Michigan St.,74,5,0,2008,3,Memphis,Michigan St.,92,74
439,Davidson,73,10,Wisconsin,56,3,0,2008,3,Davidson,Wisconsin,73,56
440,UCLA,88,1,Western Kentucky,78,12,0,2008,3,UCLA,Western Kentucky,88,78
441,Kansas,59,1,Davidson,57,10,0,2008,4,Kansas,Davidson,59,57
442,North Carolina,83,1,Louisville,73,3,0,2008,4,North Carolina,Louisville,83,73
443,Memphis,85,1,Texas,67,2,0,2008,4,Memphis,Texas,85,67
444,UCLA,76,1,Xavier,57,3,0,2008,4,UCLA,Xavier,76,57
445,Kansas,84,1,North Carolina,66,1,0,2008,5,Kansas,North Carolina,84,66
446,Memphis,78,1,UCLA,63,1,0,2008,5,Memphis,UCLA,78,63
447,Kansas,75,1,Memphis,68,1,0,2008,6,Kansas,Memphis,75,68
448,Morehead St.,58,16,Alabama St.,43,16,0,2009,0,Morehead St.,Alabama St.,58,43
449,LSU,75,8,Butler,71,9,0,2009,1,LSU,Butler,75,71
450,Arizona St.,66,6,Temple,57,11,0,2009,1,Arizona St.,Temple,66,57
451,Oklahoma,82,2,Morgan St.,54,15,0,2009,1,Oklahoma,Morgan St.,82,54
452,USC,72,10,Boston College,55,7,0,2009,1,USC,Boston College,72,55
453,Arizona,84,12,Utah,71,5,0,2009,1,Arizona,Utah,84,71
